task_type,title,duration_minutes,urgency,deadline_urgency,importance_to_goals,depends_on_you,stress_level,motivation_level,enjoyment_level,task_blocking_others,priority
Study,Practice math,134,1,Overdue,5,1,2,5,1,0,Low
Errand,Buy groceries,81,5,No Deadline,4,0,2,4,5,0,Low
Study,Read chapter,88,3,Next Week,4,1,2,1,5,1,Medium
Errand,Book tickets,174,4,Next Week,1,1,3,4,4,0,Low
Personal,Call mom,6,2,No Deadline,3,1,3,1,3,0,Low
Personal,Call mom,173,4,Today,1,1,1,5,4,0,Low
Health,Meditate,58,5,Overdue,2,1,4,4,5,1,Medium
Work,Write proposal,59,2,No Deadline,5,1,4,1,5,1,Low
Personal,Call mom,67,3,Today,3,1,3,3,2,0,Low
Work,Write proposal,76,4,This Week,4,0,3,2,5,0,Medium
Health,Go to gym,87,5,This Week,1,0,4,2,3,1,Medium
Work,Fix bug,165,4,Today,4,0,1,4,4,1,Medium
Personal,Pay bills,61,2,No Deadline,5,0,3,1,4,1,Low
Study,Watch lecture,163,1,Tomorrow,3,1,2,4,1,1,Low
Study,Practice math,92,2,Next Week,1,0,4,5,3,0,Low
Health,Sleep early,139,3,Tomorrow,3,1,4,4,1,0,Low
Work,Attend meeting,22,4,This Week,5,1,5,1,1,1,Medium
Health,Meditate,129,2,Next Week,5,0,1,4,3,1,Low
Errand,Car service,132,4,Overdue,3,1,3,4,1,0,Medium
Study,Submit assignment,82,2,This Week,3,1,2,2,5,1,Low
Study,Read chapter,8,4,Overdue,5,1,4,5,1,0,Medium
Errand,Book tickets,82,5,Today,2,1,2,3,5,0,Medium
Study,Practice math,133,4,Tomorrow,2,0,2,3,2,0,Low
Personal,Plan trip,31,3,Tomorrow,3,1,4,1,5,0,Medium
Study,Practice math,143,1,No Deadline,4,1,4,4,1,0,Low
Personal,Call mom,54,2,Today,1,0,5,5,1,1,Low
Errand,Buy groceries,171,3,Today,3,1,4,3,4,1,Medium
Errand,Book tickets,62,2,Overdue,4,0,5,2,3,1,Medium
Health,Cook healthy meal,100,3,Next Week,3,1,1,2,1,1,Medium
Errand,Pick up parcel,23,5,Tomorrow,2,0,2,4,3,1,Medium
Health,Take vitamins,145,1,This Week,2,0,4,2,5,0,Low
Work,Write proposal,180,4,Overdue,4,0,5,1,5,0,Medium
Health,Sleep early,179,4,This Week,1,1,4,2,1,1,Medium
Errand,Pick up parcel,102,5,This Week,3,0,4,4,2,1,Medium
Work,Send report,167,2,No Deadline,4,0,3,5,5,0,Low
Personal,Organize photos,47,2,Next Week,4,1,5,3,2,0,Low
Errand,Book tickets,92,5,Overdue,5,1,1,4,4,0,High
Personal,Plan trip,145,3,Next Week,3,1,2,2,4,1,Medium
Study,Submit assignment,87,1,Tomorrow,3,1,1,2,5,0,Low
Personal,Call mom,81,4,Next Week,5,0,2,5,4,0,Medium
Errand,Pick up parcel,55,5,Next Week,5,0,4,4,4,1,Medium
Health,Cook healthy meal,101,2,This Week,1,0,2,4,2,1,Low
Errand,Car service,71,4,Tomorrow,5,0,5,5,2,0,Medium
Health,Go to gym,130,4,No Deadline,5,0,5,4,5,1,Low
Personal,Plan trip,178,1,Next Week,3,1,1,4,2,0,Low
Health,Cook healthy meal,107,4,Next Week,4,1,4,4,2,1,Medium
Work,Write proposal,112,4,Today,1,1,2,4,5,1,Low
Errand,Pick up parcel,106,2,Overdue,5,1,5,4,3,0,Medium
Health,Go to gym,25,2,Today,4,1,4,3,5,1,Low
Study,Revise notes,159,1,Next Week,2,0,4,1,4,1,Low
Study,Submit assignment,140,4,Today,5,1,5,4,4,0,Medium
Personal,Pay bills,159,3,Today,2,0,3,4,5,1,Low
Health,Take vitamins,142,3,Tomorrow,4,1,1,1,3,0,Medium
Errand,Car service,167,3,Today,5,1,5,1,2,0,Medium
Health,Meditate,91,5,No Deadline,5,1,1,5,3,0,Medium
Study,Read chapter,165,1,No Deadline,4,0,4,1,4,0,Low
Health,Meditate,156,4,Tomorrow,3,0,3,2,5,1,Medium
Health,Take vitamins,29,1,This Week,2,1,2,4,1,1,Low
Study,Watch lecture,140,4,This Week,2,0,2,3,1,0,Low
Work,Fix bug,42,4,Today,3,0,1,3,4,0,Medium
Health,Go to gym,20,3,Tomorrow,3,0,5,4,3,0,Low
Personal,Organize photos,34,2,This Week,3,1,5,2,4,1,Low
Study,Revise notes,116,2,Tomorrow,1,1,3,1,3,1,Low
Work,Review code,42,2,Today,5,1,2,3,1,0,Medium
Personal,Call mom,110,3,Next Week,3,1,2,5,4,1,Low
Study,Revise notes,176,4,Next Week,5,0,2,1,5,0,Medium
Errand,Car service,42,1,No Deadline,1,0,2,3,2,1,Low
Personal,Pay bills,80,4,This Week,4,1,4,2,1,1,Medium
Work,Write proposal,149,4,This Week,5,1,3,1,3,1,Medium
Work,Attend meeting,88,3,No Deadline,5,1,1,4,3,0,Low
Study,Submit assignment,136,1,Today,5,1,3,5,3,1,Low
Errand,Buy groceries,55,4,Tomorrow,2,1,4,5,3,0,Low
Personal,Clean room,61,5,Overdue,3,0,2,1,5,1,High
Work,Send report,35,1,Overdue,1,0,4,5,2,0,Low
Errand,Buy groceries,43,3,This Week,4,1,3,2,3,1,Medium
Health,Go to gym,109,2,Next Week,2,0,2,1,2,0,Low
Work,Attend meeting,25,2,Overdue,1,0,5,5,2,1,Low
Health,Sleep early,97,3,This Week,3,1,1,5,4,1,Low
Work,Review code,149,4,Tomorrow,4,0,4,1,5,0,Medium
Work,Attend meeting,107,3,Overdue,2,0,5,4,3,0,Low
Health,Take vitamins,114,5,Today,3,0,4,1,1,1,Medium
Health,Go to gym,117,1,Next Week,2,1,2,2,2,1,Low
Personal,Organize photos,49,5,Overdue,1,0,4,5,4,0,Medium
Study,Submit assignment,28,5,Today,4,1,3,3,3,0,Medium
Errand,Visit bank,104,5,Overdue,1,1,1,1,1,0,Medium
Work,Fix bug,55,3,No Deadline,1,0,2,4,2,1,Low
Work,Attend meeting,71,3,Tomorrow,4,0,1,5,1,0,Low
Study,Read chapter,48,4,Tomorrow,1,0,4,1,4,1,Low
Study,Watch lecture,127,4,Tomorrow,2,1,3,4,2,1,Medium
Work,Send report,147,3,Tomorrow,4,1,5,1,5,1,Medium
Errand,Visit bank,119,2,Next Week,1,1,4,3,4,1,Low
Personal,Pay bills,52,3,This Week,2,0,4,5,2,0,Low
Health,Go to gym,74,2,Overdue,5,1,4,4,4,1,Medium
Work,Attend meeting,27,3,Today,1,1,2,2,2,0,Low
Errand,Car service,165,2,This Week,3,0,2,4,3,0,Low
Personal,Organize photos,11,4,No Deadline,4,1,3,3,5,0,Low
Health,Go to gym,158,3,Overdue,2,0,2,5,4,0,Low
Health,Take vitamins,54,3,Tomorrow,5,0,5,3,5,1,Medium
Health,Meditate,84,4,Next Week,2,1,5,5,2,0,Low
Errand,Book tickets,105,4,Tomorrow,4,0,5,1,3,1,Medium
Errand,Visit bank,98,3,Tomorrow,3,0,2,5,5,0,Low
Personal,Call mom,46,2,Overdue,3,0,4,5,3,1,Low
Study,Submit assignment,19,3,Next Week,4,1,4,2,2,1,Medium
Errand,Book tickets,28,1,Next Week,3,0,2,1,5,1,Low
Work,Fix bug,17,5,This Week,1,1,4,3,1,1,Medium
Errand,Buy groceries,118,5,Today,1,1,4,5,3,0,Low
Work,Review code,71,4,No Deadline,4,1,3,4,3,0,Low
Health,Go to gym,179,1,This Week,3,0,5,2,5,1,Low
Personal,Pay bills,116,5,Tomorrow,5,1,3,3,2,1,High
Errand,Book tickets,20,5,Next Week,5,1,2,4,1,1,Medium
Health,Take vitamins,177,1,This Week,5,1,4,2,5,1,Low
Work,Send report,169,1,Next Week,1,0,3,5,4,0,Low
Study,Practice math,142,5,This Week,2,1,5,5,3,0,Medium
Study,Watch lecture,179,1,This Week,1,1,1,1,1,0,Low
Study,Revise notes,6,1,Tomorrow,4,1,3,5,3,0,Low
Health,Take vitamins,158,2,No Deadline,3,1,3,1,3,1,Low
Personal,Organize photos,12,2,Next Week,5,1,3,3,3,1,Medium
Work,Fix bug,124,3,Next Week,1,1,1,5,4,0,Low
Errand,Book tickets,89,4,Overdue,1,0,3,1,4,1,Medium
Study,Practice math,168,5,Overdue,5,1,1,4,5,0,High
Work,Write proposal,22,2,This Week,2,1,1,5,2,0,Low
Health,Take vitamins,34,4,This Week,4,0,2,2,5,0,Medium
Health,Take vitamins,169,5,No Deadline,4,1,5,3,1,1,Medium
Personal,Clean room,33,4,No Deadline,1,1,4,3,2,1,Low
Errand,Visit bank,42,5,Overdue,4,0,4,2,5,0,High
Personal,Call mom,9,1,Overdue,4,1,5,2,3,1,Medium
Work,Write proposal,162,4,No Deadline,2,1,2,2,1,1,Low
Study,Revise notes,111,1,Next Week,2,1,2,4,5,0,Low
Study,Read chapter,57,1,Today,3,1,1,5,2,1,Low
Work,Write proposal,150,1,This Week,2,1,2,5,5,1,Low
Study,Watch lecture,70,2,Next Week,3,1,3,1,3,0,Low
Errand,Visit bank,102,3,Tomorrow,4,0,1,5,3,0,Low
Study,Submit assignment,91,5,Overdue,3,0,4,3,1,1,Medium
Health,Meditate,36,3,This Week,2,0,4,1,4,1,Low
Work,Fix bug,154,3,Today,4,0,2,2,1,1,Medium
Health,Cook healthy meal,173,4,This Week,3,0,2,3,4,0,Medium
Health,Take vitamins,64,2,Tomorrow,5,1,1,3,1,0,Medium
Study,Read chapter,62,4,Tomorrow,4,1,2,1,2,1,Medium
Work,Attend meeting,9,2,Next Week,5,0,2,2,3,0,Low
Errand,Car service,9,1,Overdue,3,0,2,5,5,0,Low
Personal,Clean room,6,3,Today,2,0,3,1,4,1,Low
Errand,Car service,94,1,Tomorrow,2,0,5,3,2,0,Low
Personal,Clean room,8,4,Tomorrow,4,0,3,1,4,0,Medium
Personal,Plan trip,106,2,Tomorrow,2,0,4,2,4,1,Low
Errand,Buy groceries,93,5,Tomorrow,3,1,1,4,2,0,Medium
Errand,Car service,123,3,Today,1,0,5,5,4,0,Low
Health,Go to gym,176,1,Next Week,3,0,2,2,4,0,Low
Study,Submit assignment,62,3,This Week,2,1,5,1,5,1,Low
Personal,Plan trip,123,4,Today,1,1,3,3,1,0,Low
Health,Sleep early,33,4,This Week,2,0,3,3,5,0,Low
Health,Sleep early,44,3,Today,1,0,5,2,2,1,Low
Errand,Car service,94,4,Tomorrow,4,1,1,5,5,0,Medium
Personal,Clean room,18,3,Overdue,3,0,4,4,2,0,Medium
Errand,Car service,173,4,Next Week,3,0,5,2,2,0,Medium
Errand,Car service,158,1,No Deadline,3,0,1,5,5,0,Low
Work,Fix bug,39,3,Next Week,3,1,2,5,5,1,Low
Errand,Pick up parcel,145,3,Today,1,0,5,2,1,0,Low
Personal,Organize photos,84,3,No Deadline,4,0,3,5,5,1,Low
Errand,Book tickets,27,1,No Deadline,5,1,1,2,1,0,Low
Errand,Car service,9,2,Overdue,5,0,3,5,3,0,Medium
Errand,Visit bank,170,4,This Week,4,0,3,4,5,0,Medium
Work,Write proposal,57,5,Today,2,0,5,5,5,0,Low
Work,Fix bug,22,4,Tomorrow,1,0,5,5,3,1,Low
Health,Go to gym,68,1,No Deadline,4,0,3,3,4,0,Low
Errand,Pick up parcel,133,1,This Week,5,1,2,1,3,1,Low
Study,Watch lecture,145,5,This Week,2,1,4,2,5,1,Medium
Personal,Pay bills,62,4,Today,3,1,3,5,4,1,Medium
Work,Send report,31,3,Overdue,4,0,5,2,4,0,Medium
Health,Cook healthy meal,41,1,No Deadline,5,0,5,2,2,0,Low
Work,Attend meeting,121,4,This Week,2,1,2,5,5,1,Low
Health,Cook healthy meal,144,3,Next Week,1,0,4,4,5,1,Low
Health,Take vitamins,53,2,Overdue,5,1,4,2,2,1,Medium
Health,Cook healthy meal,175,1,Tomorrow,1,1,2,1,3,1,Low
Study,Practice math,74,2,Today,3,1,4,1,1,0,Low
Health,Meditate,99,1,Tomorrow,3,0,4,4,4,1,Low
Work,Fix bug,61,1,Overdue,5,1,2,4,4,0,Low
Personal,Plan trip,98,1,Overdue,4,1,3,3,3,0,Low
Health,Cook healthy meal,15,2,No Deadline,1,0,3,4,2,1,Low
Health,Meditate,138,4,Overdue,4,0,4,5,1,0,Medium
Work,Write proposal,137,3,This Week,4,1,3,5,5,0,Low
Work,Write proposal,13,4,Tomorrow,2,0,1,1,3,1,Medium
Study,Revise notes,138,1,This Week,1,0,1,5,4,0,Low
Work,Attend meeting,109,5,Next Week,2,0,4,3,5,0,Medium
Errand,Pick up parcel,60,4,Overdue,5,1,1,2,4,1,High
Errand,Book tickets,18,5,This Week,2,1,3,4,1,0,Medium
Health,Cook healthy meal,125,1,This Week,5,0,2,3,2,1,Low
Health,Go to gym,96,5,Tomorrow,2,0,3,2,4,0,Medium
Personal,Plan trip,77,4,Today,4,0,5,1,3,0,Medium
Study,Revise notes,32,2,Today,2,1,4,1,2,0,Low
Errand,Pick up parcel,164,1,Tomorrow,3,1,5,4,3,1,Low
Work,Send report,39,3,Tomorrow,2,0,1,5,5,0,Low
Health,Meditate,143,4,Tomorrow,4,0,4,4,4,0,Medium
Errand,Book tickets,95,3,Next Week,5,1,1,4,3,0,Medium
Health,Cook healthy meal,8,3,Next Week,4,0,5,1,2,0,Medium
Personal,Call mom,71,4,Today,3,0,4,4,1,0,Medium
Study,Revise notes,111,4,Overdue,4,1,1,5,4,1,Medium
Personal,Organize photos,155,4,Overdue,4,0,1,5,5,0,Medium
Personal,Plan trip,143,5,Next Week,1,1,1,5,2,1,Medium
Errand,Pick up parcel,167,5,Today,3,0,4,5,2,0,Medium
Study,Submit assignment,143,5,Overdue,3,1,4,2,5,0,Medium
Errand,Car service,143,4,This Week,2,0,4,4,4,0,Low
Errand,Visit bank,99,1,Next Week,3,1,5,5,3,1,Low
Personal,Pay bills,166,3,This Week,3,1,3,2,2,1,Medium
Work,Write proposal,149,5,This Week,2,1,3,2,2,1,Medium
Work,Attend meeting,89,2,Next Week,5,0,4,5,3,0,Low
Study,Read chapter,27,5,Today,1,0,5,5,2,1,Low
Work,Send report,83,1,Overdue,1,1,3,2,1,0,Low
Health,Meditate,80,4,Overdue,5,1,2,3,3,0,High
Study,Read chapter,166,3,Overdue,1,1,3,5,4,0,Low
Health,Meditate,152,1,No Deadline,3,0,4,2,5,0,Low
Errand,Buy groceries,143,4,Today,4,1,5,3,2,0,Medium
Work,Attend meeting,9,5,This Week,2,0,3,5,3,1,Medium
Study,Submit assignment,17,4,No Deadline,4,0,4,5,1,0,Low
Errand,Car service,36,2,No Deadline,5,1,5,1,2,1,Low
Personal,Plan trip,27,1,No Deadline,2,1,3,1,1,0,Low
Personal,Organize photos,142,4,Tomorrow,4,1,3,3,5,1,Medium
Health,Go to gym,137,3,Today,2,1,4,3,1,1,Low
Errand,Book tickets,153,4,Tomorrow,5,0,1,3,5,1,Medium
Personal,Pay bills,153,1,This Week,1,0,2,1,1,0,Low
Study,Submit assignment,125,4,No Deadline,3,1,3,4,3,0,Low
Health,Sleep early,154,1,Next Week,5,0,2,4,5,0,Low
Study,Revise notes,77,3,This Week,1,1,2,4,5,0,Low
Health,Take vitamins,52,3,No Deadline,1,0,3,2,5,0,Low
Personal,Pay bills,119,4,This Week,5,0,1,2,4,1,Medium
Health,Cook healthy meal,48,1,Tomorrow,1,1,2,1,3,1,Low
Study,Revise notes,178,5,This Week,1,1,3,2,5,1,Medium
Work,Attend meeting,162,4,No Deadline,3,1,3,4,1,0,Low
Errand,Buy groceries,14,2,This Week,1,0,3,2,5,0,Low
Health,Meditate,92,1,Overdue,1,1,4,1,4,1,Low
Personal,Pay bills,87,4,Next Week,5,0,4,5,1,0,Medium
Work,Write proposal,79,2,Next Week,2,1,1,2,2,1,Low
Personal,Organize photos,90,3,Today,4,0,5,5,5,1,Low
Errand,Pick up parcel,175,4,No Deadline,3,0,5,2,1,0,Low
Errand,Visit bank,98,5,Tomorrow,2,1,5,1,3,0,Medium
Work,Fix bug,122,4,Next Week,4,0,1,4,2,1,Medium
Errand,Car service,26,1,Next Week,5,0,4,4,2,0,Low
Personal,Call mom,170,3,Today,3,1,5,4,4,1,Low
Errand,Car service,90,4,Overdue,5,0,4,5,4,0,Medium
Work,Fix bug,122,4,This Week,5,0,2,3,1,1,Medium
Personal,Clean room,149,5,Today,1,0,2,3,5,0,Medium
Health,Go to gym,146,2,No Deadline,1,1,4,4,1,1,Low
Errand,Book tickets,31,2,Next Week,4,0,1,1,2,1,Low
Personal,Plan trip,155,4,Today,2,0,3,3,1,0,Low
Health,Cook healthy meal,146,3,Today,4,1,4,3,3,1,Medium
Study,Watch lecture,120,3,No Deadline,2,0,5,5,3,0,Low
Personal,Organize photos,22,5,Today,3,0,5,2,1,1,Medium
Study,Submit assignment,5,3,No Deadline,3,1,5,3,5,0,Low
Personal,Pay bills,52,2,No Deadline,3,0,1,1,1,0,Low
Work,Fix bug,140,3,Today,2,1,2,3,5,1,Low
Errand,Book tickets,178,3,Today,4,1,3,5,3,1,Low
Study,Watch lecture,6,4,Next Week,5,1,2,2,2,0,Medium
Personal,Plan trip,65,3,This Week,4,0,4,4,5,0,Low
Work,Send report,31,2,This Week,4,1,3,3,2,1,Low
Personal,Call mom,146,3,No Deadline,4,1,4,3,5,0,Low
Personal,Clean room,140,1,Overdue,4,1,2,4,3,1,Low
Personal,Plan trip,110,3,This Week,4,1,3,5,5,0,Low
Health,Meditate,77,4,Tomorrow,5,1,4,4,4,1,Medium
Study,Read chapter,14,3,Next Week,5,0,5,4,2,1,Medium
Personal,Plan trip,100,1,Overdue,1,0,2,3,4,1,Low
Health,Take vitamins,68,4,Overdue,2,0,1,1,1,0,Medium
Study,Practice math,106,2,No Deadline,5,1,5,5,3,1,Low
Personal,Call mom,69,3,Next Week,2,0,2,5,3,1,Low
Work,Write proposal,137,5,Overdue,4,1,2,5,3,1,Medium
Personal,Pay bills,121,1,Today,5,1,3,3,4,0,Low
Health,Sleep early,54,5,No Deadline,4,0,1,5,5,0,Low
Study,Read chapter,72,5,This Week,3,1,3,3,4,1,Medium
Work,Fix bug,150,1,Today,5,0,3,5,3,1,Low
Personal,Clean room,121,3,Next Week,5,1,3,2,2,0,Medium
Health,Sleep early,63,3,No Deadline,1,0,5,5,4,1,Low
Personal,Call mom,40,4,Tomorrow,2,1,1,2,3,0,Medium
Study,Read chapter,6,1,No Deadline,4,0,3,1,2,1,Low
Personal,Organize photos,167,1,Today,1,1,2,4,4,0,Low
Health,Take vitamins,131,1,Today,2,1,4,3,4,1,Low
Study,Revise notes,63,5,No Deadline,2,0,2,4,4,0,Low
Errand,Visit bank,6,2,No Deadline,2,1,4,3,1,0,Low
Errand,Pick up parcel,170,3,No Deadline,4,1,4,5,3,1,Low
Study,Submit assignment,138,5,Today,1,0,1,5,4,0,Low
Work,Fix bug,175,4,Next Week,1,0,3,1,3,0,Low
Work,Send report,12,5,Today,1,1,3,1,2,0,Medium
Personal,Clean room,31,5,This Week,1,1,1,5,2,0,Low
Health,Take vitamins,166,2,Overdue,1,1,2,2,4,1,Low
Work,Attend meeting,149,4,No Deadline,2,0,1,2,5,0,Low
Work,Fix bug,45,3,Today,3,0,4,1,3,1,Medium
Study,Submit assignment,172,5,Next Week,1,0,2,5,2,1,Low
Personal,Plan trip,14,5,This Week,1,0,1,4,4,0,Low
Health,Sleep early,27,1,This Week,1,0,5,5,3,0,Low
Work,Fix bug,104,5,Overdue,4,0,3,3,1,0,Medium
Errand,Buy groceries,15,2,No Deadline,1,1,5,5,5,0,Low
Health,Take vitamins,83,2,Overdue,2,0,2,2,5,1,Low
Health,Take vitamins,172,1,Next Week,2,0,1,1,3,0,Low
Study,Watch lecture,64,1,No Deadline,5,0,4,3,5,1,Low
Personal,Call mom,18,4,Next Week,5,1,1,5,2,0,Medium
Work,Review code,112,3,Next Week,3,0,3,4,4,1,Low
Study,Revise notes,51,1,This Week,1,0,2,2,1,0,Low
Health,Meditate,37,4,This Week,4,1,1,2,2,0,Medium
Errand,Book tickets,5,1,Tomorrow,3,0,5,3,5,1,Low
Study,Practice math,53,1,This Week,1,1,1,1,1,1,Low
Health,Meditate,50,5,This Week,3,1,5,2,1,0,Medium
Errand,Buy groceries,6,2,Overdue,4,0,4,4,3,0,Medium
Study,Practice math,39,5,No Deadline,3,0,4,5,5,0,Low
Personal,Organize photos,134,2,Next Week,4,1,1,2,1,1,Medium
Study,Watch lecture,115,3,This Week,2,1,4,5,4,0,Low
Health,Go to gym,87,4,No Deadline,1,1,4,3,4,1,Low
Study,Read chapter,178,5,Overdue,3,1,1,5,5,0,Medium
Personal,Organize photos,159,4,Today,5,0,3,3,5,0,Medium
Study,Revise notes,162,4,Overdue,4,0,5,3,1,0,Medium
Errand,Buy groceries,149,3,Overdue,4,1,2,3,4,0,Medium
Errand,Book tickets,162,3,Tomorrow,1,1,4,2,4,0,Low
Study,Revise notes,177,3,Next Week,1,0,5,3,2,0,Low
Work,Attend meeting,165,2,No Deadline,3,0,1,5,4,1,Low
Study,Practice math,77,4,No Deadline,3,1,5,4,4,1,Low
Errand,Visit bank,80,4,This Week,3,1,2,3,2,1,Medium
Personal,Organize photos,114,1,Overdue,3,0,4,2,2,0,Low
Work,Fix bug,164,5,No Deadline,4,0,5,5,1,0,Low
Personal,Clean room,67,5,Overdue,2,0,3,4,2,1,Medium
Work,Fix bug,46,4,Tomorrow,3,0,1,2,5,1,Medium
Personal,Plan trip,26,5,Today,2,0,4,5,4,1,Medium
Health,Meditate,69,4,Next Week,4,1,1,2,2,0,Medium
Personal,Plan trip,94,3,Today,1,1,2,1,3,0,Low
Health,Take vitamins,127,3,Today,4,0,1,1,2,1,Medium
Health,Cook healthy meal,89,1,This Week,3,1,1,3,2,0,Low
Health,Go to gym,23,3,Overdue,1,1,2,2,3,1,Medium
Errand,Pick up parcel,15,1,Today,2,1,2,1,3,1,Low
Study,Submit assignment,177,4,This Week,5,0,2,2,1,0,Medium
Errand,Book tickets,170,1,Next Week,2,1,5,1,4,0,Low
Study,Watch lecture,118,2,Next Week,1,1,5,5,5,1,Low
Study,Revise notes,145,1,Today,2,1,1,1,1,1,Low
Errand,Book tickets,31,3,No Deadline,2,1,1,2,4,0,Low
Work,Write proposal,118,3,No Deadline,4,1,2,2,4,1,Low
Personal,Pay bills,51,3,This Week,4,1,4,2,3,1,Medium
Health,Sleep early,23,5,Today,3,0,1,4,3,0,Medium
Personal,Pay bills,175,5,Overdue,4,1,4,2,2,0,High
Personal,Pay bills,158,1,No Deadline,3,1,1,1,5,0,Low
Errand,Buy groceries,47,5,This Week,1,1,3,5,3,1,Medium
Study,Revise notes,21,3,Overdue,3,1,3,2,4,0,Medium
Errand,Car service,134,2,Today,1,0,4,1,2,1,Low
Errand,Buy groceries,98,5,This Week,5,1,4,1,3,1,High
Health,Sleep early,170,5,This Week,3,0,4,5,1,1,Medium
Study,Submit assignment,74,4,Next Week,5,1,1,4,1,0,Medium
Work,Write proposal,173,1,Today,1,0,3,4,3,1,Low
Personal,Clean room,105,5,Next Week,4,1,5,2,5,1,Medium
Errand,Buy groceries,90,4,No Deadline,3,0,4,2,2,1,Low
Personal,Plan trip,117,1,Tomorrow,4,0,5,3,4,0,Low
Work,Attend meeting,121,4,This Week,4,0,5,1,3,1,Medium
Work,Attend meeting,15,2,Overdue,2,1,2,5,1,0,Low
Health,Cook healthy meal,108,2,No Deadline,4,1,2,1,5,0,Low
Health,Meditate,154,5,Next Week,2,1,2,4,2,0,Medium
Errand,Buy groceries,121,3,Overdue,5,0,1,3,4,0,Medium
Work,Fix bug,138,2,This Week,3,0,1,3,1,0,Low
Study,Watch lecture,66,1,Overdue,4,1,1,2,4,0,Low
Health,Meditate,88,2,Next Week,2,1,3,3,1,1,Low
Work,Review code,28,1,This Week,5,0,5,3,5,1,Low
Study,Revise notes,150,4,Today,4,1,4,2,2,1,Medium
Health,Sleep early,44,4,Tomorrow,3,0,3,3,4,1,Medium
Errand,Visit bank,7,4,No Deadline,4,1,4,5,5,1,Low
Health,Meditate,171,5,Tomorrow,1,1,4,2,1,1,Medium
Health,Go to gym,102,1,Overdue,1,1,2,1,4,1,Low
Health,Cook healthy meal,90,3,Tomorrow,3,0,2,1,2,1,Medium
Errand,Book tickets,154,4,Overdue,5,0,5,3,4,1,High
Errand,Pick up parcel,56,1,This Week,3,0,4,3,4,1,Low
Personal,Call mom,69,3,This Week,2,1,5,3,2,1,Low
Work,Write proposal,162,2,Today,5,0,5,4,2,0,Low
Work,Write proposal,10,3,Today,2,0,5,5,4,0,Low
Work,Send report,172,4,Today,3,1,5,1,1,1,Medium
Personal,Plan trip,43,4,Today,1,0,2,3,1,1,Low
Errand,Car service,60,3,Next Week,5,0,4,1,5,1,Medium
Personal,Plan trip,48,4,No Deadline,4,0,4,4,3,0,Low
Work,Fix bug,83,1,This Week,1,0,4,1,1,1,Low
Study,Submit assignment,170,2,This Week,4,1,4,5,3,1,Low
Health,Cook healthy meal,163,3,Today,3,0,5,1,2,0,Low
Study,Read chapter,12,5,This Week,2,0,1,3,4,0,Medium
Work,Fix bug,97,1,Today,5,0,5,3,4,0,Low
Work,Send report,46,3,Tomorrow,1,1,2,1,4,1,Low
Work,Send report,71,5,Tomorrow,5,0,1,3,3,1,Medium
Work,Send report,16,2,Tomorrow,5,1,1,3,3,0,Medium
Personal,Pay bills,22,5,Today,5,1,4,2,4,1,High
Health,Meditate,88,2,Tomorrow,3,0,3,1,5,0,Low
Work,Send report,130,5,No Deadline,3,0,2,4,4,1,Low
Study,Practice math,20,4,Next Week,1,0,1,1,1,1,Low
Study,Submit assignment,47,1,Overdue,4,1,3,3,1,1,Medium
Errand,Buy groceries,120,2,Today,3,1,3,1,3,1,Low
Work,Review code,63,3,Tomorrow,1,1,3,1,5,1,Low
Health,Sleep early,57,5,No Deadline,3,1,2,4,2,0,Low
Health,Meditate,117,4,This Week,4,0,2,2,1,1,Medium
Work,Write proposal,134,1,This Week,5,1,2,2,4,1,Low
Personal,Call mom,86,2,This Week,1,0,5,3,3,1,Low
Study,Watch lecture,61,4,Tomorrow,1,1,5,3,1,0,Low
Work,Send report,88,3,Next Week,5,1,5,2,4,1,Medium
Errand,Visit bank,98,5,Next Week,5,0,1,5,5,0,Medium
Study,Practice math,125,2,No Deadline,3,0,4,5,1,1,Low
Health,Take vitamins,109,3,No Deadline,5,1,4,4,1,0,Low
Health,Go to gym,123,4,Next Week,5,0,4,2,4,1,Medium
Personal,Call mom,85,1,Overdue,1,1,4,3,3,0,Low
Work,Review code,17,1,This Week,3,0,2,2,1,1,Low
Errand,Buy groceries,61,5,Tomorrow,2,0,4,5,5,1,Medium
Errand,Buy groceries,137,2,Overdue,2,1,5,5,1,1,Low
Personal,Pay bills,41,4,No Deadline,5,0,2,3,1,0,Low
Errand,Pick up parcel,13,1,Today,3,1,3,1,3,0,Low
Study,Watch lecture,15,2,Tomorrow,1,1,2,5,3,1,Low
Study,Watch lecture,11,4,This Week,4,1,4,3,1,1,Medium
Work,Review code,163,4,Next Week,4,1,4,5,3,0,Medium
Errand,Book tickets,95,5,Today,4,0,2,3,1,1,Medium
Study,Submit assignment,180,3,This Week,4,1,5,5,3,0,Low
Study,Submit assignment,49,5,No Deadline,1,1,2,2,1,0,Low
Errand,Buy groceries,47,3,This Week,1,0,2,2,5,1,Low
Health,Sleep early,60,1,Tomorrow,5,1,3,1,3,1,Low
Personal,Pay bills,127,4,Next Week,5,0,3,3,1,1,Medium
Study,Practice math,139,3,This Week,2,1,5,4,4,1,Low
Personal,Organize photos,88,2,Overdue,5,0,3,1,5,1,Medium
Health,Sleep early,179,3,Overdue,3,0,1,1,4,1,Medium
Errand,Buy groceries,111,4,Tomorrow,2,0,1,2,3,1,Medium
Errand,Car service,104,2,This Week,1,1,5,3,5,0,Low
Personal,Pay bills,48,4,Today,4,0,5,5,3,1,Medium
